level_0,level_1,City,Hosp_Name,Hosp_Address,Score,index_x,Account_Num,Acct_Name_Lookup,index_y,Provider_Num,Reimbursement_Name_Lookup
3843,2376,1,1,1,3,3843,94770,ABILENE REGIONAL MEDICAL CENTER_6250 HWY 83/84_ABILENE_TX,2376,604328,ABILENE REGIONAL MEDICAL CENTER_6250 HWY 83/84_ABILENE_TX
416,1611,1,1,1,3,416,94753,F F THOMPSON HOSPITAL_350 PARRISH STREET_CANANDAIGUA_NY,1611,720794,F F THOMPSON HOSPITAL_350 PARRISH STREET_CANANDAIGUA_NY
4265,1841,1,1,1,3,4265,94695,FAIRFIELD MEDICAL CENTER_401 NORTH EWING STREET_LANCASTER_OH,1841,178601,FAIRFIELD MEDICAL CENTER_401 NORTH EWING STREET_LANCASTER_OH
1692,506,1,0,1,2,1692,94686,ADVENTHEALTH FISH MEMORIAL_1055 SAXON BLVD_ORANGE CITY_FL,506,607217,FLORIDA HOSPITAL FISH MEMORIAL_1055 SAXON BLVD_ORANGE CITY_FL
4124,829,1,1,1,3,4124,94677,NORTHWEST COMMUNITY HOSPITAL 1_800 W CENTRAL ROAD_ARLINGTON HEIGHTS_IL,829,797415,NORTHWEST COMMUNITY HOSPITAL 1_800 W CENTRAL ROAD_ARLINGTON HEIGHTS_IL
2542,262,1,1,1,3,2542,94673,"MERCY MEDICAL CENTER REDDING_2175 ROSALINE AVE, CLAIRMONT HGTS_REDDING_CA",262,788642,"MERCY MEDICAL CENTER REDDING_2175 ROSALINE AVE, CLAIRMONT HGTS_REDDING_CA"
1567,1950,1,0,1,2,1567,94662,SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE_1102 W MACARTHUR_SHAWNEE_OK,1950,552225,ST ANTHONY SHAWNEE HOSPITAL_1102 W MACARTHUR_SHAWNEE_OK
3974,693,1,1,1,3,3974,94659,PIEDMONT HENRY HOSPITAL_1133 EAGLE'S LANDING PARKWAY_STOCKBRIDGE_GA,693,574455,PIEDMONT HENRY HOSPITAL_1133 EAGLE'S LANDING PARKWAY_STOCKBRIDGE_GA
357,651,1,0,1,2,357,94652,"PIEDMONT WALTON HOSPITAL, INC_2151 W SPRING STREET_MONROE_GA",651,772968,CLEARVIEW  REGIONAL MEDICAL CENTER_2151 WEST SPRING STREET_MONROE_GA
4061,810,1,1,1,3,4061,94636,ADVOCATE CONDELL MEDICAL CENTER_801 S MILWAUKEE AVE_LIBERTYVILLE_IL,810,115154,ADVOCATE CONDELL MEDICAL CENTER_801 S MILWAUKEE AVE_LIBERTYVILLE_IL
1683,2426,1,0,1,2,1683,94620,HCA HOUSTON HEALTHCARE KINGWOOD_22999 US HWY 59_KINGWOOD_TX,2426,789028,KINGWOOD MEDICAL CENTER_22999 US HWY 59_KINGWOOD_TX
1528,812,1,1,1,3,1528,94571,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER_4440 W 95TH STREET_OAK LAWN_IL,812,684733,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER_4440 W 95TH STREET_OAK LAWN_IL
3025,2665,1,1,1,3,3025,94494,SHERIDAN MEMORIAL HOSPITAL_1401 W 5TH ST_SHERIDAN_WY,2665,159781,SHERIDAN MEMORIAL HOSPITAL_1401 W 5TH ST_SHERIDAN_WY
1508,1437,1,1,1,3,1508,94480,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS_100 MEDICAL PLAZA_LAKE SAINT LOUIS_MO,1437,193062,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS_100 MEDICAL PLAZA_LAKE SAINT LOUIS_MO
623,1017,1,1,1,3,623,94472,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR_200 EAST CHESTNUT STREET_LOUISVILLE_KY,1017,322698,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR_200 EAST CHESTNUT STREET_LOUISVILLE_KY
5026,373,1,1,1,3,5026,94468,KAISER FOUNDATION HOSPITAL MANTECA_1777 WEST YOSEMITE AVE_MANTECA_CA,373,122117,KAISER FOUNDATION HOSPITAL MANTECA_1777 WEST YOSEMITE AVE_MANTECA_CA
1019,2422,1,1,1,3,1019,94405,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON_3000 N I-35_DENTON_TX,2422,580851,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON_3000 N I-35_DENTON_TX
3722,2470,1,1,1,3,3722,94382,BON SECOURS DEPAUL MEDICAL CENTER_150 KINGSLEY LANE_NORFOLK_VA,2470,471732,BON SECOURS DEPAUL MEDICAL CENTER_150 KINGSLEY LANE_NORFOLK_VA
3598,215,1,1,1,3,3598,94349,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD_6245 DE LONGPRE AVE_HOLLYWOOD_CA,215,513673,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD_6245 DE LONGPRE AVE_HOLLYWOOD_CA
3328,1995,1,1,1,3,3328,94315,UPMC MCKEESPORT_1500 FIFTH AVENUE_MC KEESPORT_PA,1995,576822,UPMC MCKEESPORT_1500 FIFTH AVENUE_MC KEESPORT_PA
1347,2437,1,1,1,3,1347,94307,MEMORIAL HERMANN KATY HOSPITAL_23900 KATY FREEWAY_KATY_TX,2437,399363,MEMORIAL HERMANN KATY HOSPITAL_23900 KATY FREEWAY_KATY_TX
5206,824,1,0,1,2,5206,94294,MERCYHEALTH HOSPITAL ROCKTON AVENUE_2400 NORTH ROCKTON AVENUE_ROCKFORD_IL,824,453933,ROCKFORD MEMORIAL HOSPITAL_2400 NORTH ROCKTON AVENUE_ROCKFORD_IL
4049,2441,1,1,1,3,4049,94271,ST LUKE'S THE WOODLANDS HOSPITAL_17200 ST LUKE'S WAY_THE WOODLANDS_TX,2441,799855,ST LUKE'S THE WOODLANDS HOSPITAL_17200 ST LUKE'S WAY_THE WOODLANDS_TX
585,841,1,1,1,3,585,94228,ADVENTIST BOLINGBROOK HOSPITAL_500 REMINGTON BOULEVARD_BOLINGBROOK_IL,841,260258,ADVENTIST BOLINGBROOK HOSPITAL_500 REMINGTON BOULEVARD_BOLINGBROOK_IL
2925,1127,1,1,1,3,2925,94188,PENINSULA REGIONAL MEDICAL CENTER_100 EAST CARROLL AVENUE_SALISBURY_MD,1127,111172,PENINSULA REGIONAL MEDICAL CENTER_100 EAST CARROLL AVENUE_SALISBURY_MD
4563,188,1,0,1,2,4563,94110,ST JOSEPH'S BEHAVIORAL HEALTH CENTER_2510 N  CALIFORNIA ST_STOCKTON_CA,188,782430,ST JOSEPH'S MEDICAL CENTER OF STOCKTON_1800 N CALIFORNIA ST_STOCKTON_CA
2355,2386,1,1,1,3,2355,94081,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER_921 GESSNER_HOUSTON_TX,2386,455810,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER_921 GESSNER_HOUSTON_TX
3038,2220,1,1,1,3,3038,94036,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL_110 HOSPITAL DRIVE_JEFFERSON CITY_TN,2220,548413,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL_110 HOSPITAL DRIVE_JEFFERSON CITY_TN
496,1705,1,1,1,3,496,94000,CAYUGA MEDICAL CENTER AT ITHACA_101 DATES DRIVE_ITHACA_NY,1705,377018,CAYUGA MEDICAL CENTER AT ITHACA_101 DATES DRIVE_ITHACA_NY
1737,376,1,0,1,2,1737,93976,L A DOWNTOWN MEDICAL CENTER_1711 WEST TEMPLE STREET_LOS ANGELES_CA,376,673064,SILVER LAKE MEDICAL CENTER_1711 WEST TEMPLE STREET_LOS ANGELES_CA
4141,322,1,1,1,3,4141,93945,SUTTER AUBURN FAITH HOSPITAL_11815 EDUCATION STREET_AUBURN_CA,322,407907,SUTTER AUBURN FAITH HOSPITAL_11815 EDUCATION STREET_AUBURN_CA
3590,1596,1,0,1,2,3590,93869,CHENANGO MEMORIAL HOSPITAL_179 NORTH BROAD STREET_NORWICH_NY,1596,223696,"CHENANGO MEMORIAL HOSPITAL, INC_179 NORTH BROAD STREET_NORWICH_NY"
2999,106,1,1,1,3,2999,93850,VALLEY VIEW MEDICAL CENTER_5330 SOUTH HIGHWAY 95_FORT MOHAVE_AZ,106,386502,VALLEY VIEW MEDICAL CENTER_5330 SOUTH HIGHWAY 95_FORT MOHAVE_AZ
802,632,1,1,1,3,802,93833,CANDLER HOSPITAL_5353 REYNOLDS STREET_SAVANNAH_GA,632,735904,CANDLER HOSPITAL_5353 REYNOLDS STREET_SAVANNAH_GA
1978,427,1,1,1,3,1978,93765,JOHNSON MEMORIAL HOSPITAL_201 CHESTNUT HILL ROAD_STAFFORD SPRINGS_CT,427,657875,JOHNSON MEMORIAL HOSPITAL_201 CHESTNUT HILL ROAD_STAFFORD SPRINGS_CT
1558,971,1,1,1,3,1558,93761,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC_1400 W 4TH ST_COFFEYVILLE_KS",971,577649,COFFEYVILLE REGIONAL MEDICAL CENTER_1400 W 4TH ST_COFFEYVILLE_KS
5296,712,1,1,1,3,5296,93703,PALI MOMI MEDICAL CENTER_98-1079 MOANALUA ROAD_AIEA_HI,712,160530,PALI MOMI MEDICAL CENTER_98-1079 MOANALUA ROAD_AIEA_HI
2594,2409,1,1,1,3,2594,93679,DALLAS REGIONAL MEDICAL CENTER_1011 NORTH GALLOWAY AVENUE_MESQUITE_TX,2409,646798,DALLAS REGIONAL MEDICAL CENTER_1011 NORTH GALLOWAY AVENUE_MESQUITE_TX
2263,1766,1,1,1,3,2263,93674,REX HOSPITAL_4420 LAKE BOONE TRAIL_RALEIGH_NC,1766,614628,REX HOSPITAL_4420 LAKE BOONE TRAIL_RALEIGH_NC
516,1666,1,1,0,2,516,93638,ST ANTHONY COMMUNITY HOSPITAL_15 MAPLE AVENUE -19_WARWICK_NY,1666,645064,ST ANTHONY COMMUNITY HOSPITAL_15 - 19  MAPLE AVENUE_WARWICK_NY
2778,1421,1,1,1,3,2778,93618,ST LUKES HOSPITAL OF KANSAS CITY_4401 WORNALL ROAD_KANSAS CITY_MO,1421,534463,ST LUKES HOSPITAL OF KANSAS CITY_4401 WORNALL ROAD_KANSAS CITY_MO
3861,2041,1,1,1,3,3861,93590,PENN HIGHLANDS DUBOIS_100 HOSPITAL AVENUE_DUBOIS_PA,2041,393428,PENN HIGHLANDS DUBOIS_100 HOSPITAL AVENUE_DUBOIS_PA
5174,1823,1,1,1,3,5174,93569,ST VINCENT CHARITY MEDICAL CENTER_2351 EAST 22ND STREET_CLEVELAND_OH,1823,538437,ST VINCENT CHARITY MEDICAL CENTER_2351 EAST 22ND STREET_CLEVELAND_OH
2817,2380,1,1,1,3,2817,93516,CHRISTUS JASPER MEMORIAL HOSPITAL_1275 MARVIN HANCOCK DRIVE_JASPER_TX,2380,526765,CHRISTUS JASPER MEMORIAL HOSPITAL_1275 MARVIN HANCOCK DRIVE_JASPER_TX
4766,1970,1,1,1,3,4766,93510,"LEGACY GOOD SAMARITAN MEDICAL CENTER_1015 NW 22ND AVENUE, W121_PORTLAND_OR",1970,651409,"LEGACY GOOD SAMARITAN MEDICAL CENTER_1015 NW 22ND AVENUE, W121_PORTLAND_OR"
2893,2288,1,1,1,3,2893,93509,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI_600 ELIZABETH STREET_CORPUS CHRISTI_TX,2288,741506,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI_600 ELIZABETH STREET_CORPUS CHRISTI_TX
2273,2583,1,1,1,3,2273,93497,BERKELEY MEDICAL CENTER_2500 HOSPITAL DRIVE_MARTINSBURG_WV,2583,726277,BERKELEY MEDICAL CENTER_2500 HOSPITAL DRIVE_MARTINSBURG_WV
4820,1542,1,1,0,2,4820,93480,INSPIRA MEDICAL CENTER ELMER_501 WEST FRONT STREET_ELMER_NJ,1542,384796,"INSPIRA MEDICAL CENTER ELMER_501 WEST FRONT STREET, POST OFFICE BOX  1090_ELMER_NJ"
4700,740,1,1,1,3,4700,93418,CGH MEDICAL CENTER_100 EAST LEFEVRE ROAD_STERLING_IL,740,397580,CGH MEDICAL CENTER_100 EAST LEFEVRE ROAD_STERLING_IL
3894,13,1,1,1,3,3894,93383,COMMUNITY HOSPITAL INC_805 FRIENDSHIP ROAD_TALLASSEE_AL,13,145182,COMMUNITY HOSPITAL INC_805 FRIENDSHIP ROAD_TALLASSEE_AL
3697,410,1,1,1,3,3697,93349,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL_2525 S DOWNING ST_DENVER_CO,410,746612,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL_2525 S DOWNING ST_DENVER_CO
1745,1840,1,1,1,3,1745,93346,MERCY MEDICAL CENTER_1320 MERCY DRIVE NW_CANTON_OH,1840,457316,MERCY MEDICAL CENTER_1320 MERCY DRIVE NW_CANTON_OH
216,1099,1,1,1,3,216,93309,MAINE MEDICAL CENTER_22 BRAMHALL ST_PORTLAND_ME,1099,390629,MAINE MEDICAL CENTER_22 BRAMHALL ST_PORTLAND_ME
4755,42,1,1,1,3,4755,93294,CITIZENS BAPTIST MEDICAL CENTER_604 STONE AVENUE_TALLADEGA_AL,42,812357,CITIZENS BAPTIST MEDICAL CENTER_604 STONE AVENUE_TALLADEGA_AL
2859,732,1,1,1,3,2859,93291,BLESSING HOSPITAL_BROADWAY ST & N 11TH ST_QUINCY_IL,732,690396,BLESSING HOSPITAL_BROADWAY AT 11TH STREET_QUINCY_IL
258,1843,1,1,1,3,258,93258,UHHS RICHMOND HEIGHTS HOSPITAL_27100 CHARDON ROAD_RICHMOND HEIGHTS_OH,1843,725655,UHHS RICHMOND HEIGHTS HOSPITAL_27100 CHARDON ROAD_RICHMOND HEIGHTS_OH
3670,2565,1,1,1,3,3670,93243,HARBORVIEW MEDICAL CENTER_325 9TH AVENUE_SEATTLE_WA,2565,770937,HARBORVIEW MEDICAL CENTER_325 9TH AVENUE_SEATTLE_WA
4269,320,1,1,1,3,4269,93231,CLOVIS COMMUNITY MEDICAL CENTER_2755 HERNDON AVE_CLOVIS_CA,320,506463,CLOVIS COMMUNITY MEDICAL CENTER_2755 HERNDON AVE_CLOVIS_CA
4554,1977,1,1,1,3,4554,93192,LEGACY SILVERTON MEDICAL CENTER_342 FAIRVIEW STREET_SILVERTON_OR,1977,695493,LEGACY SILVERTON MEDICAL CENTER_342 FAIRVIEW STREET_SILVERTON_OR
737,725,1,1,1,3,737,93190,ALTON MEMORIAL HOSPITAL_ONE MEMORIAL DRIVE_ALTON_IL,725,481923,ALTON MEMORIAL HOSPITAL_ONE MEMORIAL DRIVE_ALTON_IL
4912,303,1,1,1,3,4912,93145,CHINESE HOSPITAL_845 JACKSON ST_SAN FRANCISCO_CA,303,690086,CHINESE HOSPITAL_845 JACKSON ST_SAN FRANCISCO_CA
595,947,1,1,1,3,595,93119,SALINA REGIONAL HEALTH CENTER_400 SOUTH SANTA FE AVENUE_SALINA_KS,947,323675,SALINA REGIONAL HEALTH CENTER_400 SOUTH SANTA FE AVENUE_SALINA_KS
1332,2001,1,1,1,3,1332,93110,LANSDALE HOSPITAL_100 MEDICAL CAMPUS DRIVE_LANSDALE_PA,2001,464483,LANSDALE HOSPITAL_100 MEDICAL CAMPUS DRIVE_LANSDALE_PA
1443,67,1,1,1,3,1443,93054,YUKON KUSKOKWIM DELTA REG HOSPITAL_PO BOX 287_BETHEL_AK,67,404849,YUKON KUSKOKWIM DELTA REG HOSPITAL_PO BOX 287_BETHEL_AK
1731,842,1,1,1,3,1731,93047,JOHNSON MEMORIAL HOSPITAL_1125 W JEFFERSON ST_FRANKLIN_IN,842,621534,JOHNSON MEMORIAL HOSPITAL_1125 W JEFFERSON ST_FRANKLIN_IN
1093,2074,1,1,1,3,1093,93041,CHAMBERSBURG HOSPITAL_112 NORTH SEVENTH STREET_CHAMBERSBURG_PA,2074,610318,CHAMBERSBURG HOSPITAL_112 NORTH SEVENTH STREET_CHAMBERSBURG_PA
3089,1378,1,1,1,3,3089,92982,MERCY HOSPITAL JOPLIN_100 MERCY WAY_JOPLIN_MO,1378,423828,MERCY HOSPITAL JOPLIN_100 MERCY WAY_JOPLIN_MO
1442,2513,1,1,1,3,1442,92977,INOVA FAIR OAKS HOSPITAL_3600 JOSEPH SIEWICK DRIVE_FAIRFAX_VA,2513,585402,INOVA FAIR OAKS HOSPITAL_3600 JOSEPH SIEWICK DRIVE_FAIRFAX_VA
4221,1547,1,1,1,3,4221,92967,SAINT BARNABAS MEDICAL CENTER_94 OLD SHORT HILLS ROAD_LIVINGSTON_NJ,1547,501191,SAINT BARNABAS MEDICAL CENTER_94 OLD SHORT HILLS ROAD_LIVINGSTON_NJ
4973,919,1,1,1,3,4973,92863,CHI HEALTH MERCY COUNCIL BLUFFS_800 MERCY DRIVE_COUNCIL BLUFFS_IA,919,470583,CHI HEALTH MERCY COUNCIL BLUFFS_800 MERCY DRIVE_COUNCIL BLUFFS_IA
5245,1494,1,1,1,3,5245,92757,PARKLAND MEDICAL CENTER_1 PARKLAND DRIVE_DERRY_NH,1494,767492,PARKLAND MEDICAL CENTER_1 PARKLAND DRIVE_DERRY_NH
5311,321,1,1,1,3,5311,92704,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS_2540 EAST ST_CONCORD_CA,321,502478,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS_2540 EAST ST_CONCORD_CA
2640,1285,1,1,1,3,2640,92681,HENRY FORD WEST BLOOMFIELD HOSPITAL_6777 WEST MAPLE ROAD_WEST BLOOMFIELD_MI,1285,624203,HENRY FORD WEST BLOOMFIELD HOSPITAL_6777 WEST MAPLE ROAD_WEST BLOOMFIELD_MI
1715,1871,1,1,1,3,1715,92635,GOOD SAMARITAN HOSPITAL_375 DIXMYTH AVENUE_CINCINNATI_OH,1871,307135,GOOD SAMARITAN HOSPITAL_375 DIXMYTH AVENUE_CINCINNATI_OH
1886,910,1,1,1,3,1886,92626,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL_5165 MCCARTY LN_LAFAYETTE_IN,910,236626,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL_5165 MCCARTY LN_LAFAYETTE_IN
296,2541,1,0,1,2,296,92613,ASTRIA REGIONAL MEDICAL CENTER_110 SOUTH NINTH AVE_YAKIMA_WA,2541,321424,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER_110 SOUTH NINTH AVE_YAKIMA_WA
2639,1771,1,1,1,3,2639,92565,RANDOLPH HOSPITAL_364 WHITE OAK STREET_ASHEBORO_NC,1771,496838,RANDOLPH HOSPITAL_364 WHITE OAK STREET_ASHEBORO_NC
1335,1586,1,1,1,3,1335,92530,BRONX-LEBANON HOSPITAL CENTER_1276 FULTON AVENUE_BRONX_NY,1586,403862,BRONX-LEBANON HOSPITAL CENTER_1276 FULTON AVENUE_BRONX_NY
4562,1695,1,1,1,3,4562,92519,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL_1980 CROMPOND ROAD_CORTLANDT MANOR_NY,1695,638698,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL_1980 CROMPOND ROAD_CORTLANDT MANOR_NY
4169,1713,1,1,1,3,4169,92514,"UNITED HEALTH SERVICES HOSPITALS, INC_10-42 MITCHELL AVENUE_BINGHAMTON_NY",1713,218916,"UNITED HEALTH SERVICES HOSPITALS, INC_10-42 MITCHELL AVENUE_BINGHAMTON_NY"
2873,89,1,1,1,3,2873,92513,BANNER DESERT MEDICAL CENTER_1400 SOUTH  DOBSON ROAD_MESA_AZ,89,101905,BANNER DESERT MEDICAL CENTER_1400 SOUTH  DOBSON ROAD_MESA_AZ
995,317,1,1,1,3,995,92502,WEST HILLS HOSPITAL & MEDICAL CENTER_7300 MEDICAL CENTER DR_WEST HILLS_CA,317,210341,WEST HILLS HOSPITAL & MEDICAL CENTER_7300 MEDICAL CENTER DR_WEST HILLS_CA
3060,807,1,1,1,3,3060,92460,SARAH BUSH LINCOLN HEALTH CENTER_1000 HEALTH CENTER DRIVE P O BOX 372_MATTOON_IL,807,541654,SARAH BUSH LINCOLN HEALTH CENTER_1000 HEALTH CENTER DRIVE P O BOX 372_MATTOON_IL
5302,2035,1,1,1,3,5302,92451,BERWICK HOSPITAL CENTER_701 EAST 16TH STREET_BERWICK_PA,2035,334826,BERWICK HOSPITAL CENTER_701 EAST 16TH STREET_BERWICK_PA
3908,2670,1,1,1,3,3908,92417,ST MARKS MEDICAL CENTER_ONE ST MARK'S PLACE_LA GRANGE_TX,2670,363668,ST MARKS MEDICAL CENTER_ONE ST MARK'S PLACE_LA GRANGE_TX
5334,988,1,1,1,3,5334,92281,JEWISH HOSPITAL - SHELBYVILLE_727 HOSPITAL DRIVE_SHELBYVILLE_KY,988,501763,JEWISH HOSPITAL - SHELBYVILLE_727 HOSPITAL DRIVE_SHELBYVILLE_KY
2103,1188,1,1,1,3,2103,92259,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM_148 CHESTNUT STREET_NEEDHAM_MA,1188,616835,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM_148 CHESTNUT STREET_NEEDHAM_MA
2821,699,1,0,1,2,2821,92161,EMORY HILLANDALE HOSPITAL_2801 DEKALB MEDICAL PARKWAY_LITHONIA_GA,699,169337,DEKALB MEDICAL CENTER AT HILLANDALE_2801 DEKALB MEDICAL PARKWAY_LITHONIA_GA
4864,2261,1,1,1,3,4864,92155,SAINT THOMAS HIGHLANDS HOSPITAL_401 SEWELL DR_SPARTA_TN,2261,868776,SAINT THOMAS HIGHLANDS HOSPITAL_401 SEWELL DR_SPARTA_TN
442,448,1,1,1,3,442,92147,"CHRISTIANA CARE HEALTH SERVICES, INC._4755 OGLETOWN-STANTON ROAD_NEWARK_DE",448,899241,"CHRISTIANA CARE HEALTH SERVICES, INC._4755 OGLETOWN-STANTON ROAD_NEWARK_DE"
2497,2572,1,1,1,3,2497,92118,EVERGREENHEALTH MEDICAL CENTER_12040 NE 128TH STREET_KIRKLAND_WA,2572,886704,EVERGREENHEALTH MEDICAL CENTER_12040 NE 128TH STREET_KIRKLAND_WA
3573,2423,1,1,1,3,3573,91980,PALESTINE REGIONAL MEDICAL CENTER_2900 S LOOP 256_PALESTINE_TX,2423,195150,PALESTINE REGIONAL MEDICAL CENTER_2900 S LOOP 256_PALESTINE_TX
4427,1663,1,0,1,2,4427,91971,KINGSBORO PSYCHIATRIC HOSPITAL_681 CLARKSON AVENUE_BROOKLYN_NY,1663,637548,KINGS COUNTY HOSPITAL CENTER_451 CLARKSON AVENUE_BROOKLYN_NY
3637,187,1,1,1,3,3637,91929,ST JOHNS REGIONAL MEDICAL CENTER_1600 N ROSE AVE_OXNARD_CA,187,690965,ST JOHNS REGIONAL MEDICAL CENTER_1600 N ROSE AVE_OXNARD_CA
4673,1205,1,1,1,3,4673,91894,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON_41 & 45 MALL ROAD_BURLINGTON_MA",1205,551959,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON_41 & 45 MALL ROAD_BURLINGTON_MA"
84,1093,1,0,1,2,84,91870,LAFAYETTE SURGICAL SPECIALTY HOSPITAL_1101 KALISTE SALOOM RD_LAFAYETTE_LA,1093,103262,HEART HOSPITAL OF LAFAYETTE_1105 KALISTE SALOOM ROAD_LAFAYETTE_LA
1562,230,1,1,1,3,1562,91868,EMANUEL MEDICAL CENTER_825 DELBON AVE_TURLOCK_CA,230,441003,EMANUEL MEDICAL CENTER_825 DELBON AVE_TURLOCK_CA
3572,2457,1,1,1,3,3572,91860,JORDAN VALLEY MEDICAL CENTER_3580 WEST 9000 SOUTH_WEST JORDAN_UT,2457,454617,JORDAN VALLEY MEDICAL CENTER_3580 WEST 9000 SOUTH_WEST JORDAN_UT
1610,1930,1,1,1,3,1610,91848,HARMON MEMORIAL HOSPITAL_400 EAST CHESTNUT STREET_HOLLIS_OK,1930,214353,HARMON MEMORIAL HOSPITAL_400 EAST CHESTNUT STREET_HOLLIS_OK
1152,397,1,1,1,3,1152,91844,CENTURA HEALTH-ST THOMAS MORE HOSPITAL_1338 PHAY AVENUE_CANON CITY_CO,397,844842,CENTURA HEALTH-ST THOMAS MORE HOSPITAL_1338 PHAY AVE_CANON CITY_CO
885,1647,1,0,1,2,885,91814,MOUNT SINAI BETH ISRAEL_FIRST AVENUE AT 16TH STREET_NEW YORK_NY,1647,358733,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS_FIRST AVENUE AT 16TH STREET_NEW YORK_NY
2661,2101,1,1,1,3,2661,91785,EXCELA HEALTH FRICK HOSPITAL_508 SOUTH CHURCH STREET_MOUNT PLEASANT_PA,2101,156683,EXCELA HEALTH FRICK HOSPITAL_508 SOUTH CHURCH STREET_MOUNT PLEASANT_PA
4919,1280,1,1,1,3,4919,91778,ST JOSEPH MERCY CHELSEA_775 S MAIN ST_CHELSEA_MI,1280,588105,ST JOSEPH MERCY CHELSEA_775 S MAIN ST_CHELSEA_MI
